"month","day","year","town","county","cases"
"05","22","2020","Mendham Borough","Morris","66"
"05","22","2020","Mendham Township","Morris","38"
"05","22","2020","Mine Hill","Morris","59"
"05","22","2020","Montville","Morris","215"
"05","22","2020","Morris Plains","Morris","55"
"05","22","2020","Morris Township","Morris","277"
"05","22","2020","Morristown","Morris","503"
"05","22","2020","Mount Arlington","Morris","44"
"05","22","2020","Mount Olive","Morris","240"
"05","22","2020","Mountain Lakes","Morris","19"
"05","22","2020","Netcong","Morris","29"
"05","22","2020","Parsippany","Morris","715"
"05","22","2020","Pequannock","Morris","194"
"05","22","2020","Randolph","Morris","257"
"05","22","2020","Riverdale","Morris","38"
"05","22","2020","Rockaway Borough","Morris","95"
"05","22","2020","Rockaway Township","Morris","238"
"05","22","2020","Roxbury","Morris","240"
"05","22","2020","Victory Gardens","Morris","33"
"05","22","2020","Washington Township","Morris","110"
"05","22","2020","Wharton","Morris","151"
"05","22","2020","Barnegat","Ocean","222"
"05","22","2020","Barnegat Light","Ocean","3"
"05","22","2020","Bay Head","Ocean","6"
"05","22","2020","Beach Haven","Ocean","7"
"05","22","2020","Beachwood","Ocean","111"
"05","22","2020","Berkeley","Ocean","565"
"05","22","2020","Brick","Ocean","1024"
"05","22","2020","Eagleswood","Ocean","10"
"05","22","2020","Harvey Cedars","Ocean","0"
"05","22","2020","Island Heights","Ocean","14"
"05","22","2020","Jackson","Ocean","780"
"05","22","2020","Lacey","Ocean","199"
"05","22","2020","Lakehurst","Ocean","34"
"05","22","2020","Lakewood","Ocean","2205"
"05","22","2020","Lavallette","Ocean","9"
"05","22","2020","Little Egg Harbor","Ocean","139"
"05","22","2020","Long Beach Township","Ocean","20"
"05","22","2020","Manchester","Ocean","643"
"05","22","2020","Mantoloking","Ocean","0"
"05","22","2020","Ocean Gate","Ocean","17"
"05","22","2020","Ocean Township","Ocean","43"
"05","22","2020","Pine Beach","Ocean","10"
"05","22","2020","Plumsted","Ocean","54"
"05","22","2020","Point Pleasant Beach","Ocean","35"
"05","22","2020","Point Pleasant Borough","Ocean","219"
"05","22","2020","Seaside Heights","Ocean","29"
"05","22","2020","Seaside Park","Ocean","7"
"05","22","2020","Ship Bottom","Ocean","7"
"05","22","2020","South Toms River","Ocean","74"
"05","22","2020","Stafford","Ocean","218"
"05","22","2020","Surf City","Ocean","4"
"05","22","2020","Toms River","Ocean","1401"
"05","22","2020","Tuckerton","Ocean","17"
"05","22","2020","Unknown","Ocean","21"
"05","22","2020","Bloomingdale","Passaic","185"
"05","22","2020","Clifton","Passaic","2688"
"05","22","2020","Haledon","Passaic","310"
"05","22","2020","Hawthorne","Passaic","412"
"05","22","2020","Little Falls","Passaic","148"
"05","22","2020","North Haledon","Passaic","184"
"05","22","2020","Passaic","Passaic","2921"
"05","22","2020","Paterson","Passaic","6717"
"05","22","2020","Pompton Lakes","Passaic","214"
"05","22","2020","Prospect Park","Passaic","304"
"05","22","2020","Ringwood","Passaic","118"
"05","22","2020","Totowa","Passaic","287"
"05","22","2020","Wanaque","Passaic","282"
"05","22","2020","Wayne","Passaic","1265"
"05","22","2020","West Milford","Passaic","385"
"05","22","2020","Woodland Park","Passaic","351"
"05","22","2020","Alloway","Salem","19"
"05","22","2020","Carneys Point","Salem","113"
"05","22","2020","Elmer","Salem","7"
"05","22","2020","Lower Alloways Creek","Salem","8"
"05","22","2020","Mannington","Salem","6"
"05","22","2020","Oldsman","Salem","8"
"05","22","2020","Penns Grove","Salem","104"
"05","22","2020","Pennsville","Salem","38"
"05","22","2020","Pilesgrove","Salem","13"
"05","22","2020","Pittsgrove","Salem","37"
"05","22","2020","Quinton","Salem","6"
"05","22","2020","Salem","Salem","27"
"05","22","2020","Upper Pittsgrove","Salem","64"
"05","22","2020","Woodstown","Salem","24"
"05","22","2020","Bedminster","Somerset","38"
"05","22","2020","Bernards","Somerset","236"
"05","22","2020","Bernardsville","Somerset","61"
"05","22","2020","Bound Brook","Somerset","297"
"05","22","2020","Branchburg","Somerset","78"
"05","22","2020","Bridgewater","Somerset","455"
"05","22","2020","Far Hills","Somerset","3"
"05","22","2020","Franklin","Somerset","1180"
"05","22","2020","Green Brook","Somerset","122"
"05","22","2020","Hillsborough","Somerset","329"
"05","22","2020","Manville","Somerset","141"
"05","22","2020","Millstone","Somerset","2"
"05","22","2020","Montgomery","Somerset","98"
"05","22","2020","North Plainfield","Somerset","300"
"05","22","2020","Peapack-Gladstone","Somerset","38"
"05","22","2020","Raritan","Somerset","94"
"05","22","2020","Rocky Hill","Somerset","5"
"05","22","2020","Somerville","Somerset","128"
"05","22","2020","South Bound Brook","Somerset","58"
"05","22","2020","Warren","Somerset","110"
"05","22","2020","Watchung","Somerset","77"
"05","22","2020","Berkeley Heights","Union","246"
"05","22","2020","Clark","Union","220"
"05","22","2020","Cranford","Union","453"
"05","22","2020","Elizabeth","Union","4007"
"05","22","2020","Fanwood","Union","88"
"05","22","2020","Garwood","Union","42"
"05","22","2020","Hillside","Union","638"
"05","22","2020","Kenilworth","Union","140"
"05","22","2020","Linden","Union","1262"
"05","22","2020","Mountainside","Union","67"
"05","22","2020","New Providence","Union","147"
"05","22","2020","Plainfield","Union","2067"
"05","22","2020","Rahway","Union","707"
"05","22","2020","Roselle","Union","590"
"05","22","2020","Roselle Park","Union","283"
"05","22","2020","Scotch Plains","Union","266"
"05","22","2020","Springfield","Union","240"
"05","22","2020","Summit","Union","197"
"05","22","2020","Union","Union","1692"
"05","22","2020","Westfield","Union","273"
"05","22","2020","Winfield","Union","5"
"05","22","2020","Allamuchy","Warren","24"
"05","22","2020","Alpha","Warren","15"
"05","22","2020","Belvidere","Warren","22"
"05","22","2020","Blairstown","Warren","19"
"05","22","2020","Franklin","Warren","15"
"05","22","2020","Frelinghuysen","Warren","84"
"05","22","2020","Greenwich","Warren","55"
"05","22","2020","Hackettstown","Warren","115"
"05","22","2020","Hardwick","Warren","12"
"05","22","2020","Harmony","Warren","14"
"05","22","2020","Hope","Warren","16"
"05","22","2020","Independence","Warren","27"
"05","22","2020","Knowlton","Warren","10"
"05","22","2020","Liberty","Warren","14"
"05","22","2020","Lopatcong","Warren","266"
"05","22","2020","Mansfield","Warren","113"
"05","22","2020","Oxford","Warren","6"
"05","22","2020","Phillipsburg","Warren","125"
"05","22","2020","Pohatcong","Warren","20"
"05","22","2020","Washington Borough","Warren","50"
"05","22","2020","Washington Township","Warren","40"
"05","22","2020","White","Warren","51"

